REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2017,40,434,4,25,6.68,0.92,5.76
States,New York,2017,40,1357,13,1,1.03,0.96,0.07
States,Alabama,2017,41,449,7,24,6.9,1.56,5.35
States,New York,2017,41,1402,9,4,0.93,0.64,0.29
States,Alabama,2017,42,472,11,13,5.08,2.33,2.75
States,New York,2017,42,1513,11,4,0.99,0.73,0.26
States,Alabama,2017,43,476,9,18,5.67,1.89,3.78
States,New York,2017,43,1632,18,4,1.35,1.1,0.25
States,Alabama,2017,44,563,5,25,5.33,0.89,4.44
States,New York,2017,44,1654,16,5,1.27,0.97,0.3
States,Alabama,2017,45,573,9,23,5.58,1.57,4.01
States,New York,2017,45,1926,18,6,1.25,0.93,0.31
States,Alabama,2017,46,671,11,31,6.26,1.64,4.62
States,New York,2017,46,1968,13,13,1.32,0.66,0.66
States,Alabama,2017,47,517,11,22,6.38,2.13,4.26
States,New York,2017,47,1851,30,23,2.86,1.62,1.24
States,Alabama,2017,48,779,20,21,5.26,2.57,2.7
States,New York,2017,48,2282,39,36,3.29,1.71,1.58
States,Alabama,2017,49,728,21,16,5.08,2.88,2.2
States,New York,2017,49,2467,55,53,4.38,2.23,2.15
States,Alabama,2017,50,947,95,28,12.99,10.03,2.96
States,New York,2017,50,2562,102,75,6.91,3.98,2.93
States,Alabama,2017,51,1435,292,39,23.07,20.35,2.72
States,New York,2017,51,2887,210,115,11.26,7.27,3.98
States,Alabama,2017,52,1524,312,43,23.29,20.47,2.82
States,New York,2017,52,3378,343,191,15.81,10.15,5.65
States,Alabama,2018,1,1636,388,50,26.77,23.72,3.06
States,New York,2018,1,3855,498,225,18.75,12.92,5.84
States,Alabama,2018,2,2115,607,79,32.43,28.7,3.74
States,New York,2018,2,4566,739,271,22.12,16.18,5.94
States,Alabama,2018,3,1981,525,95,31.3,26.5,4.8
States,New York,2018,3,4617,793,379,25.38,17.18,8.21
States,Alabama,2018,4,1998,412,99,25.58,20.62,4.95
States,New York,2018,4,6354,1242,696,30.5,19.55,10.95
States,Alabama,2018,5,1923,353,111,24.13,18.36,5.77
States,New York,2018,5,7177,1398,849,31.31,19.48,11.83
States,Alabama,2018,6,2017,306,179,24.05,15.17,8.87
States,New York,2018,6,7517,1513,953,32.81,20.13,12.68
States,Alabama,2018,7,1632,162,131,17.95,9.93,8.03
States,New York,2018,7,7883,1457,1064,31.98,18.48,13.5
States,Alabama,2018,8,1103,61,79,12.69,5.53,7.16
States,New York,2018,8,5760,830,742,27.29,14.41,12.88
States,Alabama,2018,9,828,34,46,9.66,4.11,5.56
States,New York,2018,9,4155,396,372,18.48,9.53,8.95
States,Alabama,2018,10,675,10,22,4.74,1.48,3.26
States,New York,2018,10,3448,234,234,13.57,6.79,6.79
States,Alabama,2018,11,663,11,32,6.49,1.66,4.83
States,New York,2018,11,3088,179,210,12.6,5.8,6.8
States,Alabama,2018,12,515,10,26,6.99,1.94,5.05
States,New York,2018,12,2861,180,180,12.58,6.29,6.29
States,Alabama,2018,13,485,5,13,3.71,1.03,2.68
States,New York,2018,13,2759,221,212,15.69,8.01,7.68
States,Alabama,2018,14,457,7,11,3.94,1.53,2.41
States,New York,2018,14,2165,167,167,15.43,7.71,7.71
States,Alabama,2018,15,382,10,10,5.24,2.62,2.62
States,New York,2018,15,2032,111,101,10.43,5.46,4.97
States,Alabama,2018,16,361,1,7,2.22,0.28,1.94
States,New York,2018,16,1916,111,66,9.24,5.79,3.44
States,Alabama,2018,17,329,2,5,2.13,0.61,1.52
States,New York,2018,17,1728,76,68,8.33,4.4,3.94
States,Alabama,2018,18,302,2,6,2.65,0.66,1.99
States,New York,2018,18,1609,53,30,5.16,3.29,1.86
States,Alabama,2018,19,265,1,1,0.75,0.38,0.38
States,New York,2018,19,1498,31,34,4.34,2.07,2.27
States,Alabama,2018,20,243,0,0,0,0,0
States,New York,2018,20,1360,22,13,2.57,1.62,0.96
States,Alabama,2018,21,248,0,0,0,0,0
States,New York,2018,21,1209,11,3,1.16,0.91,0.25
States,Alabama,2018,22,207,0,0,0,0,0
States,New York,2018,22,1166,10,1,0.94,0.86,0.09
States,Alabama,2018,23,167,2,0,1.2,1.2,0
States,New York,2018,23,1139,3,1,0.35,0.26,0.09
States,Alabama,2018,24,157,0,0,0,0,0
States,New York,2018,24,1070,1,0,0.09,0.09,0
