user_id,screen_name,source,place_full_name,country,country_code,location,created_at
157813580,mcgaula,Twitter for iPhone,"East Lansing, MI",United States,US,East Lansing MI/Chicago IL,3/3/2019 22:48
9.61E+17,LarrySa16379655,Twitter for iPhone,"Alexandria, IN",United States,US,United States Minor Outlying Islands,3/3/2019 21:45
18204778,MichelleRafter,Twitter for Android,"Portland, OR",United States,US,"Portland, OR",3/3/2019 18:53
297159783,LadyDeibs,Twitter for iPad,"Lower Burrell, PA",United States,US,"Somewhere near Pittsburgh, PA",3/3/2019 17:53
8.27E+17,bathbombking,Twitter for iPhone,"LaSalle, IL",United States,US,"Peru, IL",3/3/2019 16:27
14434759,whitetrashart,Twitter for iPhone,"LaSalle, IL",United States,US,"Illinois, USA",3/3/2019 16:24
456551945,ArtieBucky,Twitter for iPhone,"Swissvale, PA",United States,US,"Pittsburgh, PA",3/3/2019 2:59
1099058876,KiniroTonada,Twitter for Android,"Chino, CA",United States,US,"Los Angeles, CA",3/3/2019 2:44
16419140,pipandbaby,Twitter for Android,"Westbrook Center, CT",United States,US,"Connecticut, USA",3/3/2019 1:07
385237474,EricaBastow,Twitter for Android,"Altamonte Springs, FL",United States,US,Florida,3/3/2019 1:02
8.25E+17,drglasner,Twitter for iPhone,"Stanford, CA",United States,US,"San Francisco, CA",3/3/2019 0:00
8.25E+17,drglasner,Twitter for iPhone,"Stanford, CA",United States,US,"San Francisco, CA",3/3/2019 0:00
23765466,j9duffy,Twitter for iPhone,"Arlington, MA",United States,US,"Arlington, MA",3/2/2019 22:10
16419140,pipandbaby,Twitter for Android,"Westbrook Center, CT",United States,US,"Connecticut, USA",3/2/2019 21:43
133415705,gallus_pallas,Twitter for iPhone,"Manhattan, NY",United States,US,In the coop,3/2/2019 18:34
4705081039,Ryan_Mac_Phd,Twitter for Android,"Chapel Hill, NC",United States,US,"Chapel Hill, NC",3/2/2019 16:16
4705081039,Ryan_Mac_Phd,Twitter for Android,"Chapel Hill, NC",United States,US,"Chapel Hill, NC",3/2/2019 16:14
4705081039,Ryan_Mac_Phd,Twitter for Android,"Chapel Hill, NC",United States,US,"Chapel Hill, NC",3/2/2019 16:09
4705081039,Ryan_Mac_Phd,Twitter for Android,"Chapel Hill, NC",United States,US,"Chapel Hill, NC",3/2/2019 16:07
1.03E+18,Brittany_PA_C,Twitter for iPhone,"Florida, USA",United States,US,"Gainesville, FL",3/2/2019 15:55
809464518,markogeovani,Twitter Web Client,"Virginia, USA",United States,US,"Alexandria, VA",3/2/2019 11:34
617346600,isabellaabelsua,Twitter for iPhone,"Cedar City, UT",United States,US,"Cedar City, UT",3/2/2019 5:39
174346505,Miss_MikaNicole,Twitter for iPhone,"Lacey, WA",United States,US,on your mind,3/2/2019 5:26
8.55E+17,jsgjames,Twitter for Android,"Fitchburg, WI",United States,US,,3/1/2019 19:59
2840160781,ghw55,Twitter for iPhone,"Newark, DE",United States,US,"Newark, Delaware",3/1/2019 19:11
2910149688,neil_bodie,Twitter for iPhone,"San Diego, CA",United States,US,Pasadena CA,3/1/2019 18:52
986577578,miguel_reyesMD,Twitter for iPhone,"Hackensack, NJ",United States,US,"Manhattan, NY",3/1/2019 18:37
8.29E+17,BlueHenNat,Twitter for iPhone,"California, Delaware",United States,US,"California, Delaware",3/1/2019 17:04
8.29E+17,BlueHenNat,Twitter for iPhone,"California, Delaware",United States,US,"California, Delaware",3/1/2019 16:48
8.29E+17,BlueHenNat,Twitter for iPhone,"Newark, DE",United States,US,"California, Delaware",3/1/2019 16:39
9.09E+17,BlueHenPhoebe,Twitter for iPhone,"Newark, DE",United States,US,"Newark, DE",3/1/2019 16:37
490587864,SITNBoston,Twitter Web Client,"Cambridge, MA",United States,US,"Boston, MA",3/1/2019 15:23
464708907,_kaitiedavis,Twitter for iPhone,"Bismarck, ND",United States,US,"Bismarck, ND",3/1/2019 13:22
16419140,pipandbaby,Twitter for Android,"Westbrook Center, CT",United States,US,"Connecticut, USA",3/1/2019 11:58
16419140,pipandbaby,Twitter for Android,"Westbrook Center, CT",United States,US,"Connecticut, USA",3/1/2019 11:58
9.26E+17,QueenTaige,Twitter for iPhone,"Brooklyn, NY",United States,US,Not there yet ,3/1/2019 5:46
162582167,lizbangs,Twitter for iPhone,"Austin, TX",United States,US,"Austin, TX",3/1/2019 3:03
617346600,isabellaabelsua,Twitter for iPhone,"Cedar City, UT",United States,US,"Cedar City, UT",3/1/2019 0:09
